Name,Pos,Age,Date of Death,Include,BirthDate,Yrs,From,To,AP1,PB,St,CarAV,G,Cmp,Att,Yds,TD,Lng,Int,Sk,Yds,Att,Yds,TD,Lng,Rec,Yds,TD,Lng,Tkl,Int,Sk,,,,,,,
Hokie Gajan,RB,56,4/11/2016,1,9/6/1959,4,1982,1985,0,0,2,13,45,1,2,34,1,34,0,0,0,252,1358,11,62,63,515,2,51,,,,,,,,,,
Jim Gibbons,E-TE,79,6/2/2016,0,9/26/1936,11,1958,1968,0,3,8,28,140,0,0,0,0,0,0,,,0,0,0,0,287,3561,20,82,,,,,,,,,,
Harry Gilmer,QB-HB/Coach,90,8/20/2016,0,4/14/1926,8,1948,1956,0,2,1,0,76,263,579,3786,23,74,45,,,201,923,1,37,20,180,1,37,,5,,,,,,,,
Ken Gorgal,DB,87,5/8/2016,1,2/13/1929,5,1950,1956,0,0,5,0,58,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,19,,,,,,,,
Dennis Green,Coach,67,7/22/2016,0,2/17/1949,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Groves,LB,32,10/15/2016,0,7/5/1984,7,2008,2014,0,0,1,19,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,2,9.5,,,,,,,
Ross Gwinn,G,71,2/2/2016,1,7/25/1944,1,1968,1968,0,0,0,2,2,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Don Hardeman,RB,62,6/2/2016,0,8/13/1953,5,1975,1979,0,0,2,12,64,0,0,0,0,0,0,0,0,397,1460,11,46,58,285,2,19,,,,,,,,,,
Bob Harrison,LB,78,2/4/2016,1,8/8/1937,9,1959,1967,0,0,4,29,106,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,5,,,,,,,,
Joe Hergert,LB-K,79,1/16/2016,1,6/7/1936,2,1960,1961,0,0,0,9,19,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,2,,,,,,,,
John Hicks,G,65,10/30/2016,0,3/21/1951,4,1974,1977,0,0,4,18,52,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,5,,,,,,,,,,
Winston Hill,T,74,4/26/2016,1,10/23/1941,15,1963,1977,0,8,13,74,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Darrell Hogan,LB-G,89,4/6/2016,1,7/2/1926,5,1949,1953,0,0,2,0,60,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,7,,,,,,,,
Greg Horton,G-C,65,11/11/2016,0,1/1/1951,5,1976,1980,0,0,2,19,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Dick Hudson,T-G,75,3/2/2016,1,7/30/1940,6,1962,1967,0,1,4,26,66,0,0,0,0,0,0,,,1,1,0,1,0,0,0,0,,,,,,,,,,
Proverb Jacobs,T-DT,80,4/18/2016,1,5/25/1935,6,1958,1964,0,0,1,15,54,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Gary Jeter,DE-DT,61,3/9/2016,1,1/24/1955,13,1977,1989,0,0,3,32,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,52,,,,,,,
Paul Jetton,G-C,51,5/12/2016,1,10/6/1964,4,1989,1992,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Curley Johnson,RB-P-TE,80,6/12/2016,0,7/2/1935,10,1960,1969,0,1,8,20,129,0,1,0,0,0,0,0,0,64,209,1,25,32,370,3,36,,,,,,,,,,
Harry Jones,RB,71,12/11/2016,0,7/25/1945,4,1967,1970,0,0,0,2,29,0,0,0,0,0,0,0,0,44,85,0,16,9,131,0,48,,,,,,,,,,
Willie Jones,FB,77,9/9/2016,0,8/30/1939,1,1962,1962,0,0,0,0,10,0,0,0,0,0,0,,,4,17,0,10,0,0,0,0,,,,,,,,,,
Ted Karras,G-T-LB,81,1/22/2016,1,1/31/1934,9,1958,1966,0,0,5,26,108,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Ellison Kelly,G,80,2/11/2016,1,5/17/1935,1,1959,1959,0,0,0,0,12,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Wayne Kingery,HB-DB,88,6/2/2016,0,6/5/1927,1,1949,1949,0,0,0,0,9,0,0,0,0,0,0,,,3,3,0,0,1,-2,0,-2,,1,,,,,,,,
Bill Lapham,C,82,11/8/2016,0,2/2/1934,2,1960,1961,0,0,1,11,26,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Johnny Lattner,HB,83,2/13/2016,1,10/24/1932,1,1954,1954,0,1,1,0,12,0,0,0,0,0,0,,,69,237,5,17,25,305,2,43,,,,,,,,,,
Dwight Lee,RB,71,12/29/2016,0,9/3/1945,1,1968,1968,0,0,0,0,13,0,0,0,0,0,0,,,6,7,0,6,0,0,0,0,,,,,,,,,,
Jacky Lee,QB,76,5/2/2016,1,7/11/1939,10,1960,1969,0,0,1,17,100,430,838,6191,46,98,57,2,38,72,218,3,16,1,-1,0,0,,,,,,,,,,
James Lee,DT,36,6/24/2016,0,3/12/1980,1,2004,2004,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,,1,,,,,,,
Bill Lenkaitis,C-G,70,8/27/2016,0,6/30/1946,14,1968,1981,0,0,10,58,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Dick Logan,G-DT,86,11/27/2016,0,5/4/1930,2,1952,1953,0,0,2,0,19,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Frank Marchlewski,C,73,10/27/2016,0,10/14/1943,6,1965,1970,0,0,3,19,74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,
Ted Marchibroda,QB/Coach,84,1/16/2016,1,3/15/1931,4,1953,1957,0,0,1,0,30,172,385,2169,16,75,29,,,50,176,3,26,0,0,0,0,,,,,,,,,,
Andy Maurer,G-T,67,1/2/2016,1,9/30/1948,8,1970,1977,0,0,8,38,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Mike McCoy,DB,62,2/22/2016,1,8/16/1953,8,1976,1983,0,0,7,38,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,,,,,,,,
Jim McCusker,T,79,2/13/2016,1,5/19/1936,7,1958,1964,0,0,4,26,83,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Joe McKnight,RB,28,12/1/2016,0,4/16/1988,4,2010,2014,0,0,0,7,41,0,0,0,0,0,0,0,0,113,505,0,61,23,241,2,27,2,,,,,,,,,
Herb McMath,DT-DE,62,10/5/2016,0,9/6/1954,2,1976,1977,0,0,0,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ken Meyer,Coach,90,8/14/2016,0,7/14/1926,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lou Michaels,DE-K,80,1/19/2016,1,9/28/1935,13,1958,1971,0,2,12,69,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,,,,,,,
Rob Monaco,C,54,1/26/2016,1,9/5/1961,1,1985,1985,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Luke Owens,DE-DT-T,83,12/9/2016,0,10/19/1933,9,1957,1965,0,0,6,29,115,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Tony Pasquesi,DT-MG-LB,83,8/23/2016,0,6/13/1933,3,1955,1957,0,0,2,0,29,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Bill Perkins,HB,75,2/5/2016,1,1/12/1941,1,1963,1963,0,0,0,0,4,0,0,0,0,0,0,,,3,8,0,8,0,0,0,0,,,,,,,,,,
Lawrence Phillips,RB,40,1/13/2016,1,5/12/1975,3,1996,1999,0,0,2,11,35,0,0,0,0,0,0,1,12,424,1453,14,68,34,219,1,47,,,,,,,,,,
Chuck Pitcock,C,57,1/11/2016,1,2/20/1958,1,1987,1987,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Guy Prather,LB,58,4/18/2016,1,3/28/1958,5,1981,1985,0,0,0,7,73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,2,,,,,,,
Fred Quillan,C,60,9/12/2016,0,1/27/1956,10,1978,1987,0,2,8,62,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
George Radosevich,T-C,88,4/4/2016,1,1/25/1928,3,1954,1956,0,0,1,0,30,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Bill Reinhard,B,93,1/30/2016,1,5/17/1922,2,1947,1948,0,0,0,0,22,0,7,0,0,0,0,,,7,33,1,2,5,48,0,0,,5,,,,,,,,
Konrad Reuland,TE,29,12/12/2016,0,4/4/1987,4,2012,2015,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,12,90,0,18,2,,,,,,,,,
Willie Richardson,FL-WR,76,2/8/2016,1,11/17/1939,9,1963,1971,1,2,3,37,109,0,0,0,0,0,0,0,0,2,27,0,24,195,2950,25,79,,,,,,,,,,
Larry Roberts,DE,53,12/5/2016,0,6/2/1963,8,1986,1993,0,0,2,24,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,28,,,,,,,
Bill Robinson,HB,86,3/31/2016,1,9/29/1929,2,1952,1960,0,0,0,0,3,0,0,0,0,0,0,,,3,4,0,4,0,0,0,0,,,,,,,,,,
Bryan Robinson,DT-DE,41,6/11/2016,0,6/22/1974,14,1997,2010,0,0,10,57,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,,24,,,,,,,
George Robison,G,85,8/6/2016,0,2/14/1931,1,1952,1952,0,0,0,0,4,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Jon Roehlk,G,54,3/13/2016,1,6/25/1961,1,1987,1987,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leo Rucka,LB,84,1/4/2016,1,8/18/1931,1,1956,1956,0,0,0,0,5,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Buddy Ryan,Coach,85,6/28/2016,0,2/17/1931,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashaan Salaam,RB,42,12/5/2016,0,10/8/1974,4,1995,1999,0,0,1,13,33,0,0,0,0,0,0,0,0,471,1684,13,42,16,120,1,18,,,,,,,,,,
Bob Schnelker,E/Coach,88,12/12/2016,0,10/17/1928,9,1953,1961,0,2,6,11,105,0,0,0,0,0,0,,,0,0,0,0,211,3667,33,70,,,,,,,,,,
Joe Scott,HB-DB-E,90,6/30/2016,0,3/17/1926,6,1948,1953,0,0,3,0,51,0,0,0,0,0,0,,,322,1218,14,48,79,1203,7,61,,6,,,,,,,,
Hugh Smith,WR,79,5/12/2016,1,8/27/1936,1,1962,1962,0,0,0,0,2,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Will Smith,DE,34,4/9/2016,1,7/4/1981,9,2004,2012,0,1,8,52,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,2,67.5,,,,,,,
Zeke Smith,LB-G-DE,79,7/22/2016,0,9/29/1936,2,1960,1961,0,0,0,8,24,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Matt Snorton,TE,74,12/30/2016,0,9/26/1942,1,1964,1964,0,0,0,0,5,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Bill Stanfill,DE,69,11/10/2016,0,1/13/1947,8,1969,1976,1,5,7,64,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,,,,,,,
Greg Stemrick,DB,64,8/2/2016,0,10/25/1951,9,1975,1983,0,1,5,36,117,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,10,,15,,,,,,,,
Ralph Stewart,C-LB,90,7/30/2016,0,12/10/1925,2,1947,1948,0,0,0,0,24,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Terry Stoepel,TE,71,2/12/2016,1,2/8/1945,2,1967,1970,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,6,,,,,,,,,,
Morris Stroud,TE,70,10/17/2016,0,5/17/1946,6,1969,1974,0,0,4,10,69,0,0,0,0,0,0,0,0,0,0,0,0,54,977,7,54,,,,,,,,,,
Steve Thompson,DT,50,2/15/2016,1,6/24/1965,1,1987,1987,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,,,,,
Zurlon Tipton,RB,26,6/28/2016,0,4/27/1990,2,2014,2015,0,0,0,2,16,0,0,0,0,0,0,0,0,15,38,0,9,11,125,1,32,2,,,,,,,,,
Kevin Turner,FB,46,3/24/2016,1,6/12/1969,8,1992,1999,0,0,5,18,106,0,1,0,0,0,0,0,0,160,635,1,49,236,2015,10,41,,,,,,,,,,
Ron Vander Kelen,QB,76,8/14/2016,0,11/6/1939,5,1963,1967,0,0,0,6,29,107,252,1375,6,53,11,,,26,116,1,20,0,0,0,0,,,,,,,,,,
Ed Voytek,G,80,1/16/2016,1,4/4/1935,2,1957,1958,0,0,0,0,24,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Billy Wade,QB,85,3/9/2016,1,10/4/1930,13,1954,1966,0,2,8,48,128,1370,2523,18530,124,98,134,,,318,1334,24,66,0,10,0,10,,,,,,,,,,
Frank Wainright,TE,48,4/5/2016,1,10/10/1967,9,1991,2000,0,0,0,2,121,0,0,0,0,0,0,0,0,0,0,0,0,11,148,1,29,,,,,,,,,,
Fulton Walker,DB,58,10/12/2016,0,4/30/1958,6,1981,1986,0,0,0,3,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,,,,,,,,
Tray Walker,CB,23,3/18/2016,1,8/5/1992,1,2015,2015,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
Marsh White,RB,63,7/13/2016,0,4/1/1953,2,1975,1976,0,0,0,3,28,0,0,0,0,0,0,0,0,86,313,2,29,5,22,0,15,,,,,,,,,,
Bob Wilkinson,E-DB-HB,88,9/12/2016,0,10/8/1927,2,1951,1952,0,0,1,0,19,0,0,0,0,0,0,,,26,26,0,7,17,330,3,70,,1,,,,,,,,
Bob Williams,QB,86,5/26/2016,1,1/2/1930,3,1951,1955,0,0,1,0,29,74,160,981,10,56,12,,,29,112,0,19,0,0,0,0,,,,,,,,,,
Elmer Wingate,DE,87,2/27/2016,1,10/26/1928,1,1953,1953,0,0,0,0,12,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Al Wistert,T-G-DT,95,3/5/2016,1,12/28/1920,9,1943,1951,4,1,8,0,95,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,1,,,,,,,,
John Wittenborn,G-K,80,3/29/2016,1,3/1/1936,10,1958,1968,0,0,5,35,116,0,0,0,0,0,0,,,0,0,0,0,1,-8,0,0,,,,,,,,,,
Royce Womble,HB-FL,85,11/30/2016,0,8/12/1931,5,1954,1960,0,0,0,4,51,0,0,0,0,0,0,,,91,266,0,24,79,917,9,78,,,,,,,,,,
George Yarno,G-C-T,58,8/8/2016,0,8/12/1957,10,1979,1989,0,0,4,31,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Sam Adams,G-T,67,10/10/2015,1,9/20/1948,10,1972,1981,0,0,9,50,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Allen Aldridge,DE,70,9/30/2015,1,4/27/1945,3,1971,1974,0,0,0,8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Charlie Anderson,DE-E,82,11/1/2015,1,9/2/1933,1,1956,1956,0,0,0,0,2,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Bill Arnsparger,Coach,88,7/17/2015,1,12/16/1926,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pete Athas,DB-WR,68,6/28/2015,1,9/15/1946,6,1971,1976,0,0,3,21,79,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,,16,,,,,,,,
Doug Atkins,DE,85,12/30/2015,1,5/8/1930,17,1953,1969,1,8,15,71,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,,,,,,,,
George Atkins,G,82,1/21/2015,1,4/10/1932,1,1955,1955,0,0,0,0,12,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Billy Baggett,HB-DB,85,5/20/2015,1,6/2/1929,1,1952,1952,0,0,0,0,11,0,0,0,0,0,0,,,19,65,0,15,3,41,1,27,,1,,,,,,,,
Monk Bailey,DB,77,6/18/2015,1,4/22/1938,2,1964,1965,0,0,0,5,23,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Norm Beal,DB,75,8/30/2015,1,6/16/1940,1,1962,1962,0,0,1,5,7,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
Chuck Bednarik,LB-C,89,3/21/2015,1,5/1/1925,14,1949,1962,5,8,14,21,169,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,20,,,,,,,,
Tom Bettis,LB/Coach,81,2/28/2015,1,3/17/1933,9,1955,1963,0,0,3,13,109,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,1,,,,,,,,
Nick Bolkovac,DT-T,87,10/29/2015,1,3/20/1928,2,1953,1954,0,0,0,0,17,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,
M.L. Brackett,DE-DT-LB,81,6/30/2015,1,7/4/1933,3,1956,1958,0,0,0,0,32,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,1,,,,,,,,
Curtis Brown,RB,60,7/30/2015,1,12/7/1954,7,1977,1983,0,0,4,21,78,0,0,0,0,0,0,0,0,567,2171,9,58,102,772,5,84,,,,,,,,,,
Doug Buffone,LB,70,4/20/2015,1,6/27/1944,14,1966,1979,0,0,11,63,186,0,0,0,0,0,0,0,0,2,33,0,19,1,22,0,22,,24,,,,,,,,
Bryan Caldwell,DE,54,1/3/2015,1,5/6/1960,1,1984,1984,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Henry Carr,DB,72,5/29/2015,1,11/27/1942,3,1965,1967,0,0,3,14,37,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,7,,,,,,,,
Sam Cathcart,DB-HB,90,4/3/2015,1,7/7/1924,3,1949,1952,0,0,1,0,36,0,1,0,0,0,1,,,108,509,1,57,21,296,0,72,,7,,,,,,,,
Damion Cook,G-T,36,6/26/2015,1,4/16/1979,4,2002,2008,0,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,
Paul Costa,TE-T,73,10/12/2015,1,12/7/1941,8,1965,1972,0,2,6,23,100,0,0,0,0,0,0,0,0,2,12,1,6,102,1699,6,63,,,,,,,,,,
John David Crow,HB-TE-FB,79,6/17/2015,1,7/8/1935,11,1958,1968,0,4,9,62,125,33,70,759,5,57,5,,,1157,4963,38,83,258,3699,35,91,,,,,,,,,,
Doug Cunningham,RB,69,1/13/2015,1,9/14/1945,8,1967,1974,0,0,2,24,84,3,3,48,1,31,0,0,0,406,1515,10,64,137,1171,0,58,,,,,,,,,,
Bill Daley,FB-DB-LB,96,10/20/2015,1,9/16/1919,3,1946,1948,0,0,1,0,24,3,6,70,1,0,1,,,175,612,5,0,18,142,0,0,,,,,,,,,,
